timestamp,temperature_c,humidity_pct,wind_speed_ms,solar_irradiance_wm2,solar_generation_mw,wind_generation_mw,renewable_total_mw,is_weekend,grid_total_load_mw,net_load_mw
2024-01-01 00:00:00,1.66,56.9,3.83,0.0,0.71,0.0,0.71,0,1075.17,1074.46
2024-01-01 01:00:00,-0.53,60.6,6.37,0.0,0.0,35.29,35.29,0,1088.29,1053.0
2024-01-01 02:00:00,0.7,71.1,7.07,0.0,0.0,43.1,43.1,0,1043.54,1000.44
2024-01-01 03:00:00,2.46,72.1,3.19,0.0,7.12,3.48,10.6,0,974.31,963.71
2024-01-01 04:00:00,-1.24,86.6,6.12,0.0,0.0,30.02,30.02,0,1149.11,1119.09
2024-01-01 05:00:00,-0.74,61.9,3.99,0.0,0.0,3.63,3.63,0,1263.93,1260.3
2024-01-01 06:00:00,4.04,69.6,9.02,0.0,4.08,102.21,106.29,0,1333.08,1226.79
2024-01-01 07:00:00,3.29,59.5,7.28,61.5,18.26,53.76,72.02,0,1539.98,1467.96
2024-01-01 08:00:00,1.78,62.6,8.6,120.6,58.91,94.24,153.15,0,1656.38,1503.23
2024-01-01 09:00:00,5.3,78.5,3.07,182.5,65.88,6.52,72.4,0,1606.75,1534.35
2024-01-01 10:00:00,4.38,54.4,1.22,175.5,83.25,0.0,83.25,0,1623.7,1540.45
2024-01-01 11:00:00,5.58,66.7,8.96,188.6,85.21,101.16,186.37,0,1648.67,1462.3
2024-01-01 12:00:00,8.17,63.9,4.55,243.0,113.59,8.91,122.5,0,1556.51,1434.01
2024-01-01 13:00:00,4.23,59.6,2.89,260.4,110.78,0.0,110.78,0,1631.97,1521.19
2024-01-01 14:00:00,5.14,63.4,2.02,228.2,107.69,1.37,109.06,0,1554.31,1445.25
2024-01-01 15:00:00,7.87,49.7,5.54,145.6,66.35,16.95,83.3,0,1551.92,1468.62
2024-01-01 16:00:00,6.71,72.5,2.62,142.2,63.75,0.0,63.75,0,1692.3,1628.55
2024-01-01 17:00:00,9.13,75.2,5.94,67.6,22.64,22.05,44.69,0,1742.41,1697.72
2024-01-01 18:00:00,5.64,61.1,7.41,0.0,4.25,46.16,50.41,0,1868.29,1817.88
2024-01-01 19:00:00,3.5,81.4,5.69,0.0,0.85,18.3,19.15,0,1849.63,1830.48
2024-01-01 20:00:00,8.62,60.3,9.94,0.0,0.0,127.37,127.37,0,1672.0,1544.63
2024-01-01 21:00:00,3.61,68.2,2.67,0.0,3.0,0.0,3.0,0,1644.75,1641.75
2024-01-01 22:00:00,2.96,78.0,5.36,0.0,0.0,7.09,7.09,0,1417.82,1410.73
2024-01-01 23:00:00,-1.53,64.3,2.74,0.0,7.67,2.76,10.43,0,1329.84,1319.41
2024-01-02 00:00:00,-0.65,58.2,9.39,0.0,0.0,115.93,115.93,0,1111.36,995.43
2024-01-02 01:00:00,-0.01,57.3,10.66,0.0,1.84,169.54,171.38,0,1021.75,850.37
2024-01-02 02:00:00,-3.28,87.3,4.65,0.0,0.0,4.94,4.94,0,1164.85,1159.91
2024-01-02 03:00:00,-0.09,66.8,3.93,0.0,0.0,2.85,2.85,0,992.24,989.39
2024-01-02 04:00:00,-2.07,69.3,3.72,0.0,0.0,0.0,0.0,0,1133.45,1133.45
2024-01-02 05:00:00,-0.89,61.3,9.11,0.0,2.2,103.2,105.4,0,1329.38,1223.98
2024-01-02 06:00:00,-0.78,76.8,6.96,0.0,0.0,45.35,45.35,0,1407.78,1362.43
2024-01-02 07:00:00,5.65,61.7,9.48,61.8,26.9,119.44,146.34,0,1464.34,1318.0
2024-01-02 08:00:00,2.76,62.6,2.3,106.1,54.75,0.41,55.16,0,1740.32,1685.16
2024-01-02 09:00:00,1.75,67.4,5.23,207.3,90.63,10.37,101.0,0,1760.85,1659.85
2024-01-02 10:00:00,7.18,54.9,6.9,252.4,121.71,47.21,168.92,0,1641.57,1472.65
2024-01-02 11:00:00,3.89,60.6,9.8,321.9,145.84,131.76,277.6,0,1670.04,1392.44
2024-01-02 12:00:00,8.07,72.0,4.51,233.8,105.83,9.91,115.74,0,1550.98,1435.24
2024-01-02 13:00:00,4.1,63.2,3.98,236.7,107.08,5.55,112.63,0,1515.44,1402.81
2024-01-02 14:00:00,5.99,60.2,10.16,217.3,97.09,145.34,242.43,0,1510.43,1268.0
2024-01-02 15:00:00,9.51,60.7,1.43,181.1,78.98,2.46,81.44,0,1423.01,1341.57
2024-01-02 16:00:00,10.53,56.1,5.25,143.3,70.2,13.08,83.28,0,1613.81,1530.53
2024-01-02 17:00:00,8.79,75.8,5.09,83.5,30.16,9.5,39.66,0,1770.42,1730.76
2024-01-02 18:00:00,7.36,54.3,2.58,0.0,0.0,0.0,0.0,0,1805.44,1805.44
2024-01-02 19:00:00,5.92,63.7,4.61,0.0,5.12,13.2,18.32,0,1780.38,1762.06
2024-01-02 20:00:00,2.12,64.4,7.36,0.0,0.0,49.47,49.47,0,1829.38,1779.91
2024-01-02 21:00:00,2.5,73.1,4.39,0.0,13.42,4.91,18.33,0,1625.05,1606.72
2024-01-02 22:00:00,1.77,75.4,3.96,0.0,2.57,1.72,4.29,0,1391.74,1387.45
2024-01-02 23:00:00,3.9,67.7,8.02,0.0,8.08,63.01,71.09,0,1178.82,1107.73
2024-01-03 00:00:00,1.28,71.6,13.76,0.0,4.19,223.01,227.2,0,1109.27,882.07
2024-01-03 01:00:00,-4.15,72.8,7.99,0.0,0.0,69.32,69.32,0,1231.37,1162.05
2024-01-03 02:00:00,-0.06,52.6,8.9,0.0,0.0,94.84,94.84,0,1036.49,941.65
2024-01-03 03:00:00,-1.79,58.3,10.89,0.0,0.0,174.44,174.44,0,1102.51,928.07
2024-01-03 04:00:00,-2.26,66.0,8.27,0.0,5.44,73.29,78.73,0,1109.93,1031.2
2024-01-03 05:00:00,1.07,65.7,12.89,0.0,2.77,222.66,225.43,0,1236.83,1011.4
2024-01-03 06:00:00,2.79,59.6,7.62,0.0,8.53,54.97,63.5,0,1386.83,1323.33
2024-01-03 07:00:00,3.61,74.0,6.77,76.7,29.7,33.1,62.8,0,1545.47,1482.67
2024-01-03 08:00:00,0.92,66.6,7.07,109.8,52.44,45.83,98.27,0,1850.08,1751.81
2024-01-03 09:00:00,3.38,63.3,9.87,190.7,93.54,134.66,228.2,0,1695.14,1466.94
2024-01-03 10:00:00,6.08,53.4,6.97,239.2,104.04,42.49,146.53,0,1664.45,1517.92
2024-01-03 11:00:00,8.7,61.6,7.78,198.7,94.32,64.39,158.71,0,1600.31,1441.6
2024-01-03 12:00:00,6.54,39.7,3.21,217.2,98.76,0.0,98.76,0,1616.0,1517.24
2024-01-03 13:00:00,7.98,58.5,10.15,242.3,106.77,141.9,248.67,0,1498.14,1249.47
2024-01-03 14:00:00,6.45,59.7,5.0,280.1,126.25,17.8,144.05,0,1558.58,1414.53
2024-01-03 15:00:00,6.43,60.9,2.72,180.3,85.94,0.64,86.58,0,1524.36,1437.78
2024-01-03 16:00:00,10.67,46.7,8.24,106.2,47.71,80.87,128.58,0,1593.91,1465.33
2024-01-03 17:00:00,11.37,61.6,4.31,69.5,27.02,3.3,30.32,0,1625.07,1594.75
2024-01-03 18:00:00,7.43,52.4,2.93,0.0,0.0,0.0,0.0,0,1827.39,1827.39
2024-01-03 19:00:00,8.77,55.5,3.54,0.0,0.0,0.0,0.0,0,1771.35,1771.35
2024-01-03 20:00:00,6.15,69.2,1.23,0.0,0.37,3.24,3.61,0,1809.58,1805.97
2024-01-03 21:00:00,2.64,81.1,2.0,0.0,0.87,0.0,0.87,0,1617.01,1616.14
2024-01-03 22:00:00,3.56,67.0,6.16,0.0,0.0,31.8,31.8,0,1387.57,1355.77
2024-01-03 23:00:00,4.94,61.5,9.22,0.0,0.0,105.16,105.16,0,1198.3,1093.14
2024-01-04 00:00:00,0.42,70.8,5.01,0.0,0.0,18.07,18.07,0,1136.75,1118.68
2024-01-04 01:00:00,3.15,77.7,6.45,0.0,6.69,37.24,43.93,0,1057.13,1013.2
2024-01-04 02:00:00,-6.55,75.8,8.37,0.0,0.0,84.85,84.85,0,1160.72,1075.87
